Average Perplexity Score: 12.982
<SOS> resumption of the session <EOS>    PP Score = 10.287
<SOS> a final amendment is intended to ensure that tanks and tankers put into service between 1 january <NUM> and the entry into force of this directive may continue to be used provided that they have been constructed and maintained in accordance with it <EOS>    PP Score = 8.374
<SOS> i do realise that this is only a small step towards increased transport safety but i would ask you to endorse this report <EOS>    PP Score = 7.625
<SOS> mr president colleagues a happy new year and millennium to you all <EOS>    PP Score = 6.773
<SOS> i am speaking for the first time in this plenary part session so this is quite exciting for me a little like first love although that did last longer than two minutes <EOS>    PP Score = 5.666
<SOS> i would like to briefly comment on the commission s proposal to amend the directive on the transport of dangerous goods by road <EOS>    PP Score = 4.883
<SOS> it is good that this directive should be established now as otherwise member states would have to amend their national acts for a very short time a period of transition which would again mean unnecessary costs and which would once more increase concern with regard to eu bureaucracy <EOS>    PP Score = 6.325
<SOS> the commission s proposal however does not take account of all the facts such as the cold climate that prevails in the northern regions <EOS>    PP Score = 8.033
<SOS> consequently i have tabled some amendments to mr koch s intrinsically excellent report which have been adopted by our committee <EOS>    PP Score = 7.693
<SOS> my amendments concern the frost resistance ratings for tankers carrying these dangerous goods <EOS>    PP Score = 7.864
<SOS> according to the commission s proposal 20ºc would have been sufficient on the shores of the mediterranean it is hard to imagine that in lapland temperatures can fall considerably lower than that <EOS>    PP Score = 5.935
<SOS> there is support for the eu in lapland also so let us remember them <EOS>    PP Score = 11.880
<SOS> i have thus proposed that the frost rating be lowered to 40ºc <EOS>    PP Score = 6.964
<SOS> this would be necessary to keep safety standards at the level they were in northern regions previously <EOS>    PP Score = 7.004
<SOS> i hope my proposal will be taken into consideration in tomorrow s vote <EOS>    PP Score = 8.381
<SOS> mr president with your permission i should like to begin by expressing my admiration for the way in which you executed the quick changeover of the chairmanship just now during the debate <EOS>    PP Score = 5.241
<SOS> i thought that it was quite superb <EOS>    PP Score = 16.721
<SOS> on the subject at hand i think that the people of europe must be able to be confident that the goods however dangerous they are which are transported on europe is roads railways and so on are as safe as possible <EOS>    PP Score = 6.316
<SOS> this directive is a contribution to this <EOS>    PP Score = 11.004
<SOS> what we are doing today is essentially a nuisance <EOS>    PP Score = 9.314
<SOS> the rapporteur mr koch to whom we express our thanks for the work which he has done on this has already pointed out that basically everything could have been somewhat more advanced had it not been for the inactivity on the part of the cen which has been very dilatory in drawing up and adapting the directive <EOS>    PP Score = 6.913
<SOS> that is why we can only hope and we should resolve all of this this week that in 2001 we will finally have community regulations for the transport of dangerous goods by road so that we have a degree of legal certainty here and also so that our roads are a good deal safer <EOS>    PP Score = 6.215
<SOS> mr president the report we are discussing here does not in itself entail any major changes <EOS>    PP Score = 7.373
<SOS> most of the proposed amendments are of a purely technical nature <EOS>    PP Score = 9.144
